X_ER,X_ER membrane,X_ER membrane-associated,ERGIC,Golgi,Golgi membrane,Golgi membrane-associated,Cis Golgi,Trans Golgi,Lysosome,Mitochondria,Plasma Membrane,Endosome,Peroxisome,Nucleus,Cytosol,ER,ER Lumen,ER high curvature ,ER high sheet,ER Membrane,ER Membrane-associated,ER Receptors
CERS4,CH25H,EOGT,,CCDC91,CHST5,GOLGA3,,,CTSB,ALDH4A1,ALG10B,PPP1R21,PEX6,ARID1A,ALDH1A1,FKBP14,PDIA6,,,MXRA7,UFSP2,
CERS5,CLGN,EPM2AIP1,,CERT,CHST6,GOLGA4,,,CTSC,ALDH5A1,ALK,PRAF2,PEX7,ARID1B,ALDH1A2,FKBP2,PLOD1,,,NCLN,PTPN2,
CERS6,CLN6,ERLEC1,,CHPF2,CHST7,GOLGA7,,,CTSD,ALDH6A1,ALPG,RAB10,PHYH,ARID2,ALDH1A3,FKBP9,PLOD2,,,NSDHL,SEC22B,
CES1,CLN8,ERO1A,,CHPT1,CHST8,GOLGA7B,,,CTSF,ALKBH7,ALPI,RAB11A,PIPOX,ARID3B,ALDH1L1,FNDC3A,PLOD3,,,OSBPL8,,
CES2,CYB561D2,ERO1B,,CHST1,CHST9,GOLGA8A,,,CTSH,AMT,ALPK2,RAB11B,PXMP2,ARID3C,ALDH3A1,FNDC3B,POFUT1,,,PGRMC1,,
CES3,CYB5A,ERP27,,CHST10,CHSY1,GOLGA8B,,,CTSK,ANTKMT,ALPL,RAB11FIP1,PXMP4,ARID4A,ALDH8A1,GANAB,POGLUT1,,,PGRMC2,,
CH25H,CYBC1,ERP29,,CHST11,CHSY3,GOLGA8IP,,,CTSL,APOO,ALPP,RAB12,PXT1,ARID5A,ALDH9A1,HSP90B1,PPIB,,,PIGK,,
CLGN,CYP19A1,ERP44,,CHST12,CSGALNACT1,GOLPH3L,,,CTSO,APOOL,AMER2,RAB14,SLC25A17,ARID5B,ALOXE3,HSPA5,PRKCSH,,,PIGT,,
CLN6,CYP2U1,FKBP10,,CHST13,CSGALNACT2,GOPC,,,CTSS,AQP8,AMER3,RAB17,TMEM35A,ARL6IP4,ALPK1,HYOU1,PXDN,,,PNPLA6,,
CLN8,CYP3A4,FKBP14,,CHST14,EBAG9,GORAB,,,CTSV,ARG2,AMIGO1,RAB1A,TYSND1,ARL6IP6,ALS2CL,IKBIP,RCN1,,,POR,,
CNPY2,CYP46A1,FKBP2,,CHST15,ENTPD4,GORASP1,,,CTSZ,ARMCX1,ANO10,RAB22A,URAD,ARNT,ANKHD1,KDELC1,RCN3,,,PREB,,
CNPY3,CYP4F11,FKBP7,,CHST2,ENTPD6,GORASP2,,,CYB561A3,ARMCX2,ANO2,RAB27A,ZADH2,ARNT2,AOX1,KDELC2,SDF2,,,RPN1,,
COLGALT1,CYP4F12,FKBP9,,CHST3,EXTL3,GSAP,,,DNAJC5,ARMCX6,ANO3,RAB27B,,ARNTL2,APAF1,KTN1,SDF2L1,,,SEC11A,,
COLGALT2,CYP4F3,FOXRED2,,CHST4,FAM20B,HS3ST1,,,DNASE2,ASB9,ANO4,RAB4A,,ARX,APEH,LGALS3BP,SELENOF,,,SEC61B,,
CRELD2,CYP4F8,GLYATL2,,CHST5,FKTN,JAKMIP2,,,DNASE2B,ATAD3A,ANO6,RAB5A,,ASCC1,APIP,MANF,SERPINH1,,,SEC61G,,
CTSW,CYP4V2,H6PD,,CHST6,FNDC3A,JAKMIP3,,,DPP7,ATAD3B,ANO8,RAB5B,,ASCC2,APOBEC1,MESD,SIL1,,,SEL1L,,
CYB561D2,CYP4X1,HCRT,,CHST7,FUT1,NECAB3,,,DRAM1,ATP5F1A,ANO9,RAB7A,,ASCC3,APOL2,MINPP1,SSR1,,,SGPL1,,
CYB5A,CYP4Z1,HMOX1,,CHST8,FUT10,NUCB1,,,DRAM2,ATP5F1B,ANPEP,RAB7B,,ASCL1,APOL3,MTDH,SUMF2,,,SIGMAR1,,
CYB5R4,CYP51A1,HMOX2,,CHST9,FUT11,NUCB2,,,EPDR1,ATP5F1C,ANTXR1,RAB8A,,ASCL2,APOL5,MYDGF,TBL2,,,SLMAP,,
CYBC1,CYP7A1,HSD11B2,,CHSY1,FUT2,OSBPL11,,,FUCA1,ATP5F1D,AOC3,RAB9A,,ASCL3,APOL6,NENF,TMEM38B,,,SPCS3,,
CYP17A1,CYP7B1,HSD17B11,,CHSY3,FUT3,OSBPL9,,,GAA,ATP5F1E,APCDD1,RABEP1,,ASCL4,APRT,NFXL1,TMTC3,,,SPTLC1,,
CYP19A1,CYP8B1,HSD17B13,,COG1,FUT4,PACS1,,,GALC,ATP5F1EP2,APLNR,RABEPK,,ASCL5,ARAP2,NPTX1,TOR1B,,,SRPRB,,
CYP1A2,DAD1,HSD17B3,,COG2,FUT5,PRRC1,,,GALNS,ATP5IF1,APOBR,RABGEF1,,ASF1A,AREL1,P3H1,TOR3A,,,SSR4,,
CYP21A2,DDOST,HSP90B1,,COG3,FUT6,RHOBTB3,,,GBA,ATP5MC1,APOLD1,RAP2A,,ASF1B,ARHGAP1,P3H4,TTC13,,,STIM1,,
CYP26A1,DEGS2,HSPA13,,COG4,FUT7,RND3,,,GGH,ATP5MC2,AQP1,RAP2B,,ASH1L,ARHGAP18,P4HA1,TTC17,,,STX18,,
CYP26B1,DERL1,HSPA5,,COG5,FUT8,RNF125,,,GLA,ATP5MC3,AQP10,RAP2C,,ASH2L,ARHGAP6,P4HA2,TXNDC5,,,TGFBR1,,
CYP2A13,DERL2,HYOU1,,COG6,FUT9,SDF4,,,GLB1,ATP5MD,AQP3,RAPGEF1,,ASXL1,ARHGDIA,PDIA3,UFL1,,,TMX2,,
CYP2A6,DERL3,JMJD8,,COG7,GAL3ST1,SGSM1,,,GM2A,ATP5ME,AQP9,RASGEF1B,,ASXL2,ARHGDIB,PDIA4,UGGT1,,,TMX3,,
CYP2A7,DGAT1,JSRP1,,COG8,GAL3ST2,SPATA16,,,GNS,ATP5MF,ARHGEF39,RASSF9,,ASXL3,ARHGDIG,PDIA5,,,,TOR1AIP2,,
CYP2B6,DGAT2,KCNRG,,COPA,GAL3ST3,STMN4,,,GPR137B,ATP5MG,ARL13B,REP15,,ATAD2,ARHGEF10L,PDIA6,,,,TXNDC15,,
CYP2C18,DGAT2L6,LDAH,,COPB1,GAL3ST4,STX11,,,GRN,ATP5MGL,ARRDC1,RIN3,,ATAD2B,ARHGEF16,PLOD1,,,,UBE2J1,,
CYP2C19,DHCR7,LSS,,COPB2,GALNT1,SYN1,,,GUSB,ATP5MPL,ART3,RPS6KC1,,ATAD5,ARHGEF3,PLOD2,,,,UGT8,,
CYP2C8,DHRS7B,MESD,,COPE,GALNT10,TANGO2,,,HEXA,ATP5PB,ART4,RUFY1,,ATF1,ARL14EP,PLOD3,,,,USE1,,
CYP2C9,DIO1,METTL7A,,COPG1,GALNT11,TBC1D14,,,HEXB,ATP5PD,ASIC1,SAMD9L,,ATF3,ARMC5,POFUT1,,,,VAPA,,
CYP2D6,DIPK1A,MINPP1,,COPG2,GALNT12,TBC1D23,,,HGSNAT,ATP5PF,ASIC2,SBF2,,ATF7IP,ARMS2,POGLUT1,,,,VAPB,,
CYP2F1,DIPK1B,MMP27,,COPZ1,GALNT13,TMF1,,,HYAL1,ATP5PO,ASIC5,SCAMP1,,ATF7IP2,ARPP19,PPIB,,,,VRK2,,
CYP2J2,DIPK1C,MTTP,,COPZ2,GALNT14,TRAPPC1,,,IDS,ATPAF1,ATP1A1,SCAMP2,,ATMIN,ARPP21,PRKCSH,,,,XXYLT1,,
CYP2R1,DNAJC14,NBEAL2,,CSGALNACT1,GALNT15,TRAPPC10,,,IDUA,ATPAF2,ATP1A2,SCAMP5,,ATOH1,AS3MT,PXDN,,,,AGPAT1,,
CYP2S1,DOLK,OS9,,CSGALNACT2,GALNT16,TRAPPC11,,,IFI30,ATPSCKMT,ATP1A3,SGK3,,ATOH7,ASAP3,RCN1,,,,AGPAT2,,
CYP2U1,DOLPP1,P3H3,,DAOA,GALNT17,TRAPPC2L,,,IL4I1,AUH,ATP1A4,SH3GL1,,ATP1B4,ASB6,RCN3,,,,AGPAT3,,
CYP39A1,DPAGT1,P3H4,,DENND4B,GALNT18,TRAPPC3,,,ITFG2,BAK1,ATP1B1,SH3GL2,,ATR,ASB8,SDF2,,,,CRELD1,,
CYP3A4,DPM2,P4HA1,,DENND5A,GALNT2,TRAPPC3L,,,KPTN,BBC3,ATP1B2,SH3GL3,,ATRIP,ASDURF,SDF2L1,,,,FDFT1,,
CYP3A43,DPM3,P4HA2,,DOP1A,GALNT3,TRAPPC4,,,KXD1,BCKDHA,ATP1B3,SLC26A7,,ATRX,ASRGL1,SELENOF,,,,GPAT4,,
CYP3A5,DUOXA2,P4HA3,,DOP1B,GALNT4,TRAPPC5,,,LAMP1,BCKDHB,ATP2B1,SLC9A6,,ATXN1L,ASS1,SERPINH1,,,,KDSR,,
CYP3A7,EBPL,PCYT1B,,EBAG9,GALNT5,TRAPPC6A,,,LAMP2,BCKDK,ATP2B2,SLC9A9,,ATXN3,ATG10,SIL1,,,,LEMD2,,
CYP46A1,EDEM1,PDIA2,,EIPR1,GALNT6,TRAPPC6B,,,LAMP3,BCLAF3,ATP2B3,SNX1,,ATXN3L,ATG3,SSR1,,,,LPGAT1,,
CYP4A11,EIF2AK3,PDIA3,,ENTPD4,GALNT7,TRAPPC8,,,LAMTOR1,BCO2,ATP2B4,SNX11,,ATXN7L3,ATG4A,SUMF2,,,,ODR4,,
CYP4A22,ELOVL1,PDIA4,,ENTPD6,GALNT8,TRAPPC9,,,LAMTOR2,BCS1L,ATP4A,SNX13,,ATXN8,ATG4B,TBL2,,,,PIGS,,
CYP4B1,ELOVL2,PDIA5,,EXTL3,GALNT9,USP32,,,LAMTOR3,BDH1,ATP4B,SNX14,,AZIN1,ATG4C,TMEM38B,,,,SACM1L,,
CYP4F11,ELOVL3,PDILT,,FAM20B,GALNTL6,USP6NL,,,LAMTOR4,BNIP3,ATP6V0A4,SNX16,,BACH1,ATXN2,TMTC3,,,,SCARB1,,
CYP4F12,ELOVL4,PLIN1,,FAM91A1,GASK1B,VPS41,,,LAMTOR5,BOLA1,AVPR1A,SNX17,,BAHD1,ATXN7L3B,TOR1B,,,,SLC27A4,,
CYP4F2,ELOVL5,PLOD1,,FHDC1,GBGT1,VPS45,,,LAPTM4A,BOLA3,AVPR1B,SNX18,,BANP,ATXN8OS,TOR3A,,,,SPCS1,,
CYP4F22,ELOVL6,PLOD2,,FKTN,GCNT1,VPS51,,,LAPTM4B,BRI3BP,AVPR2,SNX19,,BAP18,AXIN2,TTC13,,,,SPCS2,,
CYP4F3,ELOVL7,POFUT1,,FNDC3A,GCNT2,VPS52,,,LAPTM5,C10orf67,AXL,SNX2,,BARHL1,AZI2,TTC17,,,,TMCO1,,
CYP4F8,EPHX1,POGLUT1,,FUT1,GCNT3,VPS53,,,LGMN,C12orf65,BASP1,SNX20,,BARHL2,BAG4,TXNDC5,,,,TMEM131,,
CYP4V2,EPHX3,POGLUT2,,FUT10,GCNT4,VPS54,,,LIPA,C14orf119,BDKRB1,SNX21,,BARX1,BBOX1,UFL1,,,,TMEM199,,
CYP4X1,ERAP1,POGLUT3,,FUT11,GCNT7,TOM1L1,,,LMBRD1,C15orf62,BDKRB2,SNX25,,BARX2,BCAS1,UGGT1,,,,TMEM214,,
CYP4Z1,ERAP2,PPIB,,FUT2,GFY,PI4K2A,,,MAN2B1,CA5A,BEST1,SNX27,,BATF2,BCAS4,ALDH3A2,,,,BCAP29,,
CYP51A1,ERG28,PRKCSH,,FUT3,GGTA1P,CCDC115,,,MAN2B2,CA5B,BEST2,SNX3,,BATF3,BCAT1,CISD2,,,,BCAP31,,
CYP7A1,ERLIN1,PRSS50,,FUT4,GLCE,ARL1,,,MANBA,CARS2,BEST3,SNX4,,BAZ1A,BCDIN3D,COMT,,,,CLCC1,,
CYP7B1,ERLIN2,PTGS1,,FUT5,GLG1,TRIP11,,,MCOLN1,CBR4,BEST4,SNX5,,BAZ1B,BCL2A1,DHCR24,,,,DAD1,,
CYP8B1,ERMARD,PTGS2,,FUT6,GNPTAB,PKMYT1,,,MCOLN2,CCDC51,BLK,SNX6,,BAZ2A,BDH2,DHRS7B,,,,HSD17B12,,
DAD1,ERMP1,PTPN2,,FUT7,GOLGA5,ZFYVE1,,,MCOLN3,CCDC90B,BMPR1A,SNX8,,BAZ2B,BECN2,DHRSX,,,,MGST2,,
DDOST,ERN1,RCN1,,FUT8,GOLGB1,RAB31,,,MFSD8,CDS2,BMPR1B,SPPL2A,,BBX,BEX5,EMC2,,,,MSMO1,,
DDRGK1,ERN2,RCN2,,FUT9,GOLIM4,,,,MIOS,CEBPZOS,BMPR2,STAM,,BCAS2,BHMT,KIAA0100,,,,OSTC,,
DEGS2,EXTL1,RCN3,,GAL3ST1,GOLM1,,,,MON1B,CHCHD10,BOC,STAM2,,BCL11B,BICC1,LAMC1,,,,RPN2,,
DERL1,FA2H,RDH12,,GAL3ST2,GOLT1A,,,,MPO,CHCHD2P9,BRS3,STEAP1,,BCL6,BIRC8,NCEH1,,,,SEC63,,
DERL2,FADS2,RETSAT,,GAL3ST3,GOLT1B,,,,NAAA,CHCHD4,BSG,STEAP3,,BCL6B,BLMH,PRDX4,,,,SLC27A2,,
DERL3,FADS2P1,RTN3,,GAL3ST4,GOSR1,,,,NAGA,CHCHD5,BST1,STX7,,BCL9,BLOC1S3,RDH11,,,,ST7,,
DGAT1,FADS3,SDF2L1,,GALNT1,GOSR2,,,,NAGLU,CHCHD6,BTLA,SYT5,,BCL9L,BLOC1S4,SPTLC2,,,,TECR,,
DGAT2,FDFT1,SEC23IP,,GALNT10,GPR89A,,,,NEU1,CHCHD7,BTN3A1,TBC1D12,,BCOR,BLVRA,TMEM205,,,,TMEM109,,
DGAT2L6,FICD,SELENOF,,GALNT11,GPR89B,,,,NEU4,CHDH,BTN3A2,TBC1D5,,BCORL1,BLVRB,APOL2,,,,TMEM33,,
DHCR7,FITM1,SELENON,,GALNT12,HS2ST1,,,,NPC1,CISD1,BTN3A3,TMEM108,,BDP1,BMX,CANX,,,,UBAC2,,
DHDDS,FITM2,SERPINA2,,GALNT13,HS3ST2,,,,NPC2,CISD3,C2orf88,TMEM163,,BEND3,BOLL,TMX1,,,,TMEM205,,
DHRS7B,FLT3,SERPINH1,,GALNT14,HS3ST3A1,,,,NPRL2,CKMT1A,C3AR1,VAC14,,BEND6,BRAP,ABHD12,,,,BRI3BP,,
DHRS9,FMO1,SIL1,,GALNT15,HS3ST3B1,,,,NPRL3,CKMT2,C5AR2,VIPAS39,,BHLHA15,BRINP1,ABHD6,,,,EBP,,
