"","Reference","Gene.Symbol","Annotation","p.val_d1.d0","log2FC_d1.d0","d0","q.val_d1.d0","sig_d1.d0","p.val_d2.d0","log2FC_d2.d0","d1","q.val_d2.d0","sig_d2.d0","d2","p.val_anova","q.val_anova","anova_sig","p.val_d4.d0","log2FC_d4.d0","d4","q.val_d4.d0","sig_d4.d0","p.val_d6.d0","log2FC_d6.d0","d6","q.val_d6.d0","sig_d6.d0","p.val_d8.d0","log2FC_d8.d0","d8","q.val_d8.d0","sig_d8.d0","p.val_d10.d0","log2FC_d10.d0","d10","q.val_d10.d0","sig_d10.d0","p.val_d12.d0","log2FC_d12.d0","d12","q.val_d12.d0","sig_d12.d0","cluster","d0_1","d0_2","d1_1","d1_2","d2_1","d2_2","d4_1","d4_2","d6_1","d6_2","d8_1","d8_2","d10_1","d10_2","d12_1","d12_2","hotellingT2","ProtID","Compartment_ss"
"11","sp|P01137|TGFB1_HUMAN","TGFB1","Transforming growth factor beta-1 proprotein OS=Homo sapiens OX=9606 GN=TGFB1 PE=1 SV=2",0.21668441083108,0.309631385192848,10.6978419093254,0.2755019388557,"n.s.",0.768295036301611,0.110651721512582,11.0074732945183,0.787987895900656,"n.s.",10.808493630838,5.07712875475127e-07,1.24976589079797e-06,"sig",0.0293509888387575,1.42620044519449,12.1240423545199,0.0424810478002777,"up",0.00463236712956574,2.67789932387537,13.3757412332008,0.0108586805409696,"up",0.00395965225046498,2.7203982933974,13.4182402027228,0.00945904157451707,"up",0.00307193006785693,3.15324966630418,13.8510915756296,0.00803258579294163,"up",0.00418353800525801,3.14622162580761,13.844063535133,0.00965658247158673,"up",7,10.5307595180148,10.864924300636,10.9598075099613,11.0551390790752,10.5256674152176,11.0913198464584,12.3098379398389,11.9382467692009,13.4501395559515,13.30134291045,13.3787165669921,13.4577638384535,13.9037123633325,13.7984707879266,13.961351360865,13.7267757094011,1902.64969404283,"sp|P01137|TGFB1_HUMAN_TGFB1","ER.Membrane.associated"
"12","sp|O00767|SCD_HUMAN","SCD","Stearoyl-CoA desaturase OS=Homo sapiens OX=9606 GN=SCD PE=1 SV=2",0.0214489980588359,1.52112659056577,19.3932351412154,0.0533109695785045,"n.s.",0.394608609160114,0.298920796143221,20.9143617317812,0.42846761419232,"n.s.",19.6921559373586,3.24190050059886e-06,6.22390180494719e-06,"sig",0.0328308143795025,-1.14914675883173,18.2440883823837,0.0465053892038013,"down",0.264720851659885,-0.412729493329618,18.9805056478858,0.289868494312819,"n.s.",0.0213070941207372,-1.53264574347308,17.8605893977423,0.0310361969121775,"down",0.0210960227126588,-1.62518854535469,17.7680465958607,0.0307910039424169,"down",0.153358657866632,-0.598866463644779,18.7943686775706,0.173327964081192,"n.s.",1,19.6066890347525,19.1797812476783,20.9899286227589,20.8387948408034,19.8700950285269,19.5142168461903,18.2490151115764,18.2391616531909,18.8167782053558,19.1442330904158,17.7822683042157,17.938910491269,17.6586337155904,17.877459476131,18.6353576511402,18.9533797040011,1831.42515578984,"sp|O00767|SCD_HUMAN_SCD","ER.Membrane"
"13","sp|Q8WXF7|ATLA1_HUMAN","ATL1","Atlastin-1 OS=Homo sapiens OX=9606 GN=ATL1 PE=1 SV=1",0.0291290301706721,0.327449057853869,17.8397071276028,0.0635529105617138,"n.s.",0.00306945428615302,0.427476660293429,18.1671561854567,0.011896698215232,"n.s.",18.2671837878963,2.0835757597595e-09,1.51958381505857e-08,"sig",0.00381674572600013,0.772615831001211,18.612322958604,0.0103928304142712,"up",0.000567424694451977,1.82812864252108,19.6678357701239,0.00427018684114774,"up",0.000121257419136452,2.5663948800676,20.4061020076704,0.00308981808245943,"up",0.00240505255063013,2.97625015521175,20.8159572828146,0.00700056542094192,"up",0.000162065936949121,2.68617718480252,20.5258843124053,0.0030182431220909,"up",2,17.8342890228811,17.8451252323246,18.1102711170188,18.2240412538946,18.2440723633652,18.2902952124273,18.6598845462719,18.5647613709362,19.6246081911019,19.7110633491459,20.4338407385884,20.3783632767525,20.9620800373529,20.6698345282762,20.4921156433903,20.5596529814204,1805.5543065637,"sp|Q8WXF7|ATLA1_HUMAN_ATL1","ER.high.curvature"
"14","sp|Q15165|PON2_HUMAN","PON2","Serum paraoxonase/arylesterase 2 OS=Homo sapiens OX=9606 GN=PON2 PE=1 SV=4",0.00506516278378081,1.49948854717343,18.665022251147,0.0270156497494059,"up",0.00617412390896478,1.84421934226343,20.1645107983204,0.0170379798675551,"up",20.5092415934104,8.52337410466071e-06,1.46723554629215e-05,"sig",0.00260600449518463,2.21163212919741,20.8766543803444,0.00873552107827498,"up",0.00287832558465662,2.38987465418288,21.0548969053299,0.00825858767983952,"up",0.0332998850088543,0.747541766754598,19.4125640179016,0.044805837494404,"up",0.152664642267758,0.282057760907158,18.9470800120542,0.173086666544888,"n.s.",0.0277398753319365,1.66559784430331,20.3306200954503,0.0388547022431288,"up",4,18.7434665754622,18.5865779268318,20.2374659313604,20.0915556652805,20.631886073218,20.3865971136028,20.7951480479221,20.9581607127667,20.9531260940587,21.1566677166011,19.2966863185003,19.5284417173029,18.8497585095202,19.0444015145882,20.0583560235546,20.602884167346,1713.76630289234,"sp|Q15165|PON2_HUMAN_PON2","ER.Membrane.associated"
"15","sp|Q9BRK0|REEP2_HUMAN","REEP2","Receptor expression-enhancing protein 2 OS=Homo sapiens OX=9606 GN=REEP2 PE=1 SV=2",0.184815360040967,-0.48891403102628,16.2054644992902,0.242805463890854,"n.s.",0.024368301543925,-0.38288760295295,15.7165504682639,0.0415414655313893,"n.s.",15.8225768963372,7.82102833578605e-08,2.65464988739933e-07,"sig",0.0545985395270211,0.228907414974174,16.4343719142643,0.0709887763890957,"n.s.",0.00522693799178768,0.881663599290381,17.0871280985805,0.0116883420867719,"up",0.000911372545209748,1.73478660272626,17.9402511020164,0.00472068043938782,"up",0.000669907187538783,2.05330930862876,18.2587738079189,0.00413917667121365,"up",0.000594905523665754,2.13159324672747,18.3370577460176,0.00405548925747159,"up",7,16.1535544574763,16.257374541104,15.9566381518932,15.4764627846346,15.8544009413811,15.7907528512933,16.4548374314034,16.4139063971253,17.0497050248081,17.124551172353,17.933049488498,17.9474527155348,18.2702877086518,18.2472599071861,18.3337671960986,18.3403482959367,1518.73510566081,"sp|Q9BRK0|REEP2_HUMAN_REEP2","ER.high.curvature"
"16","sp|Q9Y5Q0|FADS3_HUMAN","FADS3","Fatty acid desaturase 3 OS=Homo sapiens OX=9606 GN=FADS3 PE=1 SV=1",0.00973391016082466,-0.792356986208366,14.2243677517797,0.0352331845939893,"down",0.00441978435136593,-1.28580979990098,13.4320107655714,0.0140942256552322,"down",12.9385579518788,2.26706280311948e-05,3.54215758774045e-05,"sig",0.00531126894267483,-2.21536260551206,12.0090051462677,0.0126060396786088,"down",0.0127453292868446,-2.66296533765147,11.5614024141283,0.0212914727893279,"down",0.00112667507422142,-2.69732289429164,11.5270448574881,0.00509398369017089,"down",0.00328579515187945,-2.78579438632303,11.4385733654567,0.00831305211823174,"down",0.0154512413150679,-3.14359416207239,11.0807735897074,0.0241286093151665,"down",1,14.1524400512684,14.2962954522911,13.4640738975103,13.3999476336325,12.8918418149842,12.9852740887733,11.8637385945189,12.1542716980165,11.2665020968367,11.8563027314199,11.5821580302613,11.471931684715,11.5815857681782,11.2955609627353,11.4695301763467,10.692017003068,1435.4161604477,"sp|Q9Y5Q0|FADS3_HUMAN_FADS3","ER.Membrane"
"17","sp|O95302|FKBP9_HUMAN","FKBP9","Peptidyl-prolyl cis-trans isomerase FKBP9 OS=Homo sapiens OX=9606 GN=FKBP9 PE=1 SV=2",0.00260719068528508,0.788119569253016,17.402958993908,0.0217331386490447,"up",0.000380399311042415,1.95131901642479,18.191078563161,0.00672633601596969,"up",19.3542780103327,3.98103052330478e-12,2.85926316835409e-10,"sig",1.69322631634528e-05,2.36429302124622,19.7672520151542,0.00332129977806543,"up",0.000127178571465601,2.76345395868924,20.1664129525972,0.00326128744446899,"up",3.95117245599962e-05,3.03932242069778,20.4422814146057,0.0029313978838969,"up",6.09538076266e-05,3.00710125969068,20.4100602535986,0.00280117585905884,"up",0.000140786265632289,2.91101770806724,20.3139767019752,0.00299135142528942,"up",2,17.4116381397146,17.3942798481013,18.1517029560312,18.2304541702908,19.3913445072846,19.3172115133809,19.771647942418,19.7628560878903,20.1364783654376,20.1963475397568,20.4593014867942,20.4252613424173,20.4318755524199,20.3882449547774,20.3474124706276,20.2805409333228,1405.2759256632,"sp|O95302|FKBP9_HUMAN_FKBP9","ER.Lumen"
"18","sp|O15460|P4HA2_HUMAN","P4HA2","Prolyl 4-hydroxylase subunit alpha-2 OS=Homo sapiens OX=9606 GN=P4HA2 PE=1 SV=1",0.00309149051145146,1.43114221458278,17.3629067705301,0.0228322039509458,"up",0.000573516075550388,2.66519825303991,18.7940489851129,0.00688722173117292,"up",20.02810502357,1.54005502478147e-10,2.32758316245381e-09,"sig",0.000568843008936652,2.34661061846431,19.7095173889944,0.00479918590883036,"up",0.0011946228016045,1.79740613340983,19.1603129039399,0.00553754108304069,"up",0.00198885076360159,1.27332464044012,18.6362314109702,0.00654496187717386,"up",0.00358499789630076,0.983823774365263,18.3467305448953,0.00869105631338196,"up",0.00722156338118346,0.664020409173411,18.0269271797035,0.0138953692628383,"up",5,17.3069250591422,17.418888481918,18.737238563322,18.8508594069037,19.9973901809592,20.0588198661807,19.708467104663,19.7105676733258,19.1332499127706,19.1873758951092,18.6262150273219,18.6462477946186,18.3278957431374,18.3655653466533,18.0361483035221,18.0177060558848,1344.69618852937,"sp|O15460|P4HA2_HUMAN_P4HA2","ER.Lumen"
"19","sp|Q96HD1|CREL1_HUMAN","CRELD1","Protein disulfide isomerase CRELD1 OS=Homo sapiens OX=9606 GN=CRELD1 PE=1 SV=3",0.098113669897218,0.554406494826232,16.002068351593,0.14751188852675,"n.s.",0.05288064047106,0.813891468847341,16.5564748464192,0.0753209254435352,"n.s.",16.8159598204404,3.03443469993377e-08,1.22525399257017e-07,"sig",0.0169420414115836,1.47827368065039,17.4803420322434,0.0275204712519993,"up",0.00841558898192913,1.95123144214258,17.9532997937356,0.0159266126858094,"up",0.00512346661646119,2.64132437502333,18.6433927266163,0.0110076878941184,"up",0.00375313945088198,2.88179623464193,18.8838645862349,0.00896047792125787,"up",0.0034415062414302,3.02323000578549,19.0252983573785,0.00859134318716837,"up",7,15.8253049017762,16.1788318014098,16.4931422960073,16.6198073968312,16.7336669217791,16.8982527191016,17.3982408878405,17.5624431766463,17.9185947749839,17.9880048124873,18.5742868460997,18.712498607133,18.873868591621,18.8938605808489,19.0446090034719,19.0059877112851,1257.04832485832,"sp|Q96HD1|CREL1_HUMAN_CRELD1","ER.Membrane"
"20","sp|O15120|PLCB_HUMAN","AGPAT2","1-acyl-sn-glycerol-3-phosphate acyltransferase beta OS=Homo sapiens OX=9606 GN=AGPAT2 PE=1 SV=1",0.00040159291552377,0.617608180251878,15.6940520710152,0.0174400300299318,"up",0.00207726597667393,1.04700031480214,16.311660251267,0.00991923195380815,"up",16.7410523858173,4.17181412245171e-10,4.67773451213943e-09,"sig",0.00435270798413859,0.611914170074144,16.3059662410893,0.0112125031355418,"up",0.00237684767726238,0.709820798493382,16.4038728695086,0.00747310524121589,"up",0.000746894148181539,1.9024887492891,17.5965408203043,0.00442860076202291,"up",0.000945624877167721,2.81838751121629,18.5124395822315,0.00467673172947079,"up",0.000613708210197755,3.67384421247467,19.3678962834898,0.00407393696041208,"up",8,15.6834222640966,15.7046818779337,16.3053133561476,16.3180071463865,16.7876489651863,16.6944558064483,16.266882562499,16.3450499196796,16.4368706661141,16.370875072903,17.5456154340138,17.6474662065948,18.4263636570483,18.5985155074146,19.2774643254508,19.4583282415289,1243.93823997412,"sp|O15120|PLCB_HUMAN_AGPAT2","ER.Membrane"
"21","sp|Q15392|DHC24_HUMAN","DHCR24","Delta(24)-sterol reductase OS=Homo sapiens OX=9606 GN=DHCR24 PE=1 SV=2",0.0180656264339141,0.122380125337749,20.9235491278118,0.0484839335567854,"n.s.",0.00243343150792405,0.364770004534719,21.0459292531496,0.010703690550865,"n.s.",21.2883191323466,1.52443510576531e-08,6.94348866667075e-08,"sig",0.000578992297668341,-0.984608370092619,19.9389407577192,0.00482722469763156,"down",0.00249272237623187,-1.5896945008502,19.3338546269616,0.00764712027768789,"down",0.0010587836942969,-1.43134400847971,19.4922051193321,0.00498539490043392,"down",0.00231115552809662,-1.60537711464571,19.3181720131661,0.00686442900493689,"down",0.00418839018672321,-1.75427843159543,19.1692706962164,0.00966336620342198,"down",1,20.9362081257912,20.9108901298325,21.035074328472,21.0567841778272,21.3011534986125,21.2754847660806,19.9189021992222,19.9589793162163,19.2553510447564,19.4123582091669,19.5370646577388,19.4473455809255,19.2419037019246,19.3944403244077,19.0560853350035,19.2824560574294,1188.31588667321,"sp|Q15392|DHC24_HUMAN_DHCR24","ER.Membrane"
"22","sp|P07942|LAMB1_HUMAN","LAMB1","Laminin subunit beta-1 OS=Homo sapiens OX=9606 GN=LAMB1 PE=1 SV=2",0.000962603245372204,2.37330726349605,19.5951410676848,0.0183946799986208,"up",0.0138998344190943,1.58421819437448,21.9684483311808,0.0280562060049205,"up",21.1793592620593,5.82140897401718e-07,1.41127539485077e-06,"sig",0.00874541278523414,1.28679943314295,20.8819405008277,0.0172499535865963,"up",0.00481251495537672,1.13972634631121,20.734867413996,0.0111062978615141,"up",0.000651311410138086,2.5549256163109,22.1500666839957,0.00423034345653175,"up",0.000342593132242667,2.31241106498723,21.907552132672,0.00342791392157159,"up",0.0010598208500594,1.56717736040337,21.1623184280882,0.0049139642751377,"up",5,19.5582066666843,19.6320754686853,21.9046859932562,22.0322106691055,20.9942593296358,21.3644591944827,20.7665751217916,20.9973058798638,20.8050999597198,20.6646348682722,22.096293671757,22.2038396962344,21.8859021614661,21.9292021038779,21.127062769418,21.1975740867583,1133.31823397868,"sp|P07942|LAMB1_HUMAN_LAMB1","ER.Membrane.associated"
"23","sp|Q16799|RTN1_HUMAN","RTN1","Reticulon-1 OS=Homo sapiens OX=9606 GN=RTN1 PE=1 SV=1",0.0147444547724603,1.19998783295514,16.6086259114422,0.0437273775372691,"up",0.00547128444948013,1.91419178716721,17.8086137443974,0.015849465745253,"up",18.5228176986095,1.94019458092023e-09,1.43481455535119e-08,"sig",0.00630781623615466,1.83161711470291,18.4402430261452,0.0139678648554644,"up",0.00369859654380391,2.31209634023801,18.9207222516803,0.00947388655442514,"up",0.00256956986943063,2.83200096422874,19.440626875671,0.00740188819126777,"up",0.00198706724763155,3.17489269610087,19.7835186075431,0.00633237979842715,"up",0.00180978403425996,3.34978286716855,19.9584087786108,0.0060750478330846,"up",2,16.4682716225152,16.7489802003693,17.853460536446,17.7637669523488,18.545487259893,18.5001481373259,18.3994485154112,18.4810375368791,18.9342436450793,18.9072008582812,19.4091797900328,19.4720739613091,19.7637687210868,19.8032684939995,19.9326482622113,19.9841692950103,1126.88149118452,"sp|Q16799|RTN1_HUMAN_RTN1","ER.high.curvature"
